"No."	"PosX"	"PosY"	"PosZ"	"FrontX"	"FrontY"	"FrontZ"	"LeftX"	"LeftY"	"LeftZ"	"UpX"	"UpY"	"UpZ"
1244	-168.453659	33.683747	4.504012	-0.183770	-0.980395	0.071090	-0.123696	-0.048681	-0.991125	0.975155	-0.190932	-0.112325
1245	-168.528043	33.190569	4.537766	-0.114553	-0.991349	0.064072	-0.119396	-0.050290	-0.991572	0.986216	-0.121237	-0.112602
1246	-168.568552	32.693231	4.568129	-0.048229	-0.997179	0.057511	-0.115049	-0.051649	-0.992016	0.992188	-0.054460	-0.112233
1247	-168.576619	32.194121	4.595319	0.015257	-0.998563	0.051366	-0.110674	-0.052743	-0.992456	0.993740	0.009457	-0.111320
1248	-168.553646	31.695313	4.619534	0.075955	-0.996068	0.045600	-0.106297	-0.053560	-0.992891	0.991429	0.070568	-0.109947
1249	-168.501019	31.198623	4.640956	0.133896	-0.990180	0.040183	-0.101940	-0.054095	-0.993319	0.985738	0.128905	-0.108182
1250	-168.420112	30.705637	4.659752	0.189095	-0.981332	0.035092	-0.097629	-0.054348	-0.993738	0.977094	0.184485	-0.106083
1251	-168.312288	30.217736	4.676081	0.241575	-0.969909	0.030306	-0.093387	-0.054324	-0.994147	0.965878	0.237331	-0.103701
1252	-168.178903	29.736118	4.690091	0.291353	-0.956267	0.025808	-0.089239	-0.054030	-0.994544	0.952444	0.287461	-0.101078
1253	-168.021302	29.261807	4.701921	0.338452	-0.940736	0.021582	-0.085204	-0.053479	-0.994927	0.937118	0.334896	-0.098255
1254	-167.840812	28.795674	4.711703	0.382924	-0.923612	0.017614	-0.081302	-0.052688	-0.995296	0.920195	0.379691	-0.095267
1255	-167.638740	28.338441	4.719564	0.424796	-0.905183	0.013892	-0.077549	-0.051674	-0.995649	0.901962	0.421870	-0.092147
1256	-167.416361	27.890701	4.725623	0.464158	-0.885691	0.010403	-0.073958	-0.050457	-0.995984	0.882660	0.461524	-0.088924
1257	-167.174943	27.452910	4.729991	0.500869	-0.865494	0.007114	-0.070560	-0.049022	-0.996302	0.862642	0.498514	-0.085623
1258	-166.915902	27.025291	4.732752	0.534690	-0.845039	0.003958	-0.067410	-0.047321	-0.996603	0.842355	0.532607	-0.082266
1259	-166.640598	26.607946	4.733962	0.566018	-0.824392	0.000905	-0.064517	-0.045390	-0.996884	0.821864	0.564196	-0.078879
1260	-166.350179	26.200970	4.733667	0.595236	-0.803549	-0.002065	-0.061878	-0.043274	-0.997145	0.801165	0.593664	-0.075480
1261	-166.045618	25.804467	4.731905	0.622647	-0.782487	-0.004967	-0.059491	-0.041007	-0.997386	0.780238	0.621315	-0.072084
1262	-165.727756	25.418552	4.728707	0.648493	-0.761181	-0.007814	-0.057355	-0.038623	-0.997606	0.759057	0.647389	-0.068704
1263	-165.397326	25.043356	4.724097	0.672967	-0.739596	-0.010617	-0.055468	-0.036147	-0.997806	0.737590	0.672079	-0.065350
1264	-165.054972	24.679025	4.718095	0.696222	-0.717702	-0.013385	-0.053828	-0.033605	-0.997985	0.715806	0.695539	-0.062029
1265	-164.701272	24.325725	4.710716	0.718378	-0.695467	-0.016124	-0.052433	-0.031019	-0.998143	0.693675	0.717889	-0.058748
1266	-164.336748	23.983635	4.701974	0.739536	-0.672853	-0.018841	-0.051280	-0.028408	-0.998280	0.671161	0.739230	-0.055513
1267	-163.961880	23.652950	4.691878	0.759773	-0.649831	-0.021541	-0.050368	-0.025794	-0.998398	0.648234	0.759641	-0.052328
1268	-163.577114	23.333882	4.680435	0.779141	-0.626380	-0.024227	-0.049694	-0.023193	-0.998495	0.624876	0.779173	-0.049198
1269	-163.182872	23.026651	4.667653	0.797685	-0.602474	-0.026902	-0.049253	-0.020624	-0.998573	0.601059	0.797872	-0.046125
1270	-162.779557	22.731492	4.653536	0.815438	-0.578088	-0.029567	-0.049043	-0.018104	-0.998633	0.576763	0.815773	-0.043114
1271	-162.367562	22.448644	4.638089	0.832412	-0.553220	-0.032222	-0.049059	-0.015649	-0.998673	0.551981	0.832888	-0.040167
